Match_No,Team1,Team2,Result,Round
1,CSK,KKR,CSK,League
2,KXI,MI,MI,League
3,RCB,SRH,RCB,League
4,MI,RR,MI,League
5,CSK,KXI,CSK,League
6,KKR,SRH,KKR,League
7,MI,RCB,TBD,League
8,CSK,SRH,TBD,League
9,RR,KXI,TBD,League
10,KKR,MI,TBD,League
11,KXI,RCB,TBD,League
12,CSK,MI,TBD,League
13,RCB,RR,TBD,League
14,KXI,SRH,TBD,League
15,KKR,RCB,TBD,League
16,SRH,RR,TBD,League
17,CSK,RCB,TBD,League
18,RR,KKR,TBD,League
19,MI,SRH,TBD,League
20,KKR,KXI,TBD,League
21,RR,CSK,TBD,League
22,TBD,TBD,TBD,Q1
23,TBD,TBD,TBD,Q2
24,TBD,TBD,TBD,Q3
25,TBD,TBD,TBD,Final
