Match_No,Team1,Team2,Result,Round
1,CSK,KKR,CSK,League
2,KXI,MI,MI,League
3,RCB,SRH,RCB,League
4,MI,RR,MI,League
5,CSK,KXI,CSK,League
6,KKR,SRH,KKR,League
7,MI,RCB,RCB,League
8,CSK,SRH,CSK,League
9,RR,KXI,RR,League
10,KKR,MI,MI,League
11,KXI,RCB,RCB,League
12,CSK,MI,TBD,League
13,RCB,RR,TBD,League
14,KXI,SRH,TBD,League
15,KKR,RCB,TBD,League
16,SRH,RR,TBD,League
17,CSK,RCB,TBD,League
18,RR,KKR,TBD,League
19,MI,SRH,TBD,League
20,KKR,KXI,TBD,League
21,RR,CSK,TBD,League
22,TBD,TBD,TBD,Eliminator
23,TBD,TBD,TBD,Qualifier1
24,TBD,TBD,TBD,Qualifier2
25,TBD,TBD,TBD,Final
